,Player,link_of_player
0,Lionel Messi,https://fbref.com/en/players/d70ce98e/Lionel-Messi
1,Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
2,Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo
3,Sadio Mané,https://fbref.com/en/players/c691bfe2/Sadio-Mane
4,Mohamed Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah
5,Kylian Mbappé,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
6,Alisson,https://fbref.com/en/players/7a2e46a8/Alisson
7,Robert Lewandowski,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
8,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
9,Riyad Mahrez,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez
10,Frenkie de Jong,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
11,Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling
12,Eden Hazard,https://fbref.com/en/players/a39bb753/Eden-Hazard
13,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
14,Matthijs de Ligt,https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt
15,Sergio Agüero,https://fbref.com/en/players/4d034881/Sergio-Aguero
16,Roberto Firmino,https://fbref.com/en/players/4c370d81/Roberto-Firmino
17,Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann
18,Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
19,Pierre-Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
20,Dušan Tadić,https://fbref.com/en/players/2475dcc6/Dusan-Tadic
21,Son Heung-min,https://fbref.com/en/players/92e7e919/Son-Heung-min
22,Hugo Lloris,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
23,Kalidou Koulibaly,https://fbref.com/en/players/da974c7b/Kalidou-Koulibaly
24,Marc-André ter Stegen,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
25,Karim Benzema,https://fbref.com/en/players/70d74ece/Karim-Benzema
26,Georginio Wijnaldum,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum
27,João Félix,https://fbref.com/en/players/8aafd64f/Joao-Felix
28,Marquinhos,https://fbref.com/en/players/d5f2f82b/Marquinhos
29,Donny van de Beek,https://fbref.com/en/players/50dc94ce/Donny-van-de-Beek
30,Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric
36,Raphaël Varane,https://fbref.com/en/players/9f8e9423/Raphael-Varane
39,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane
40,N'Golo Kanté,https://fbref.com/en/players/b9fbae28/NGolo-Kante
41,Neymar,https://fbref.com/en/players/69384e5d/Neymar
42,Luis Suárez,https://fbref.com/en/players/a6154613/Luis-Suarez
43,Thibaut Courtois,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
44,Paul Pogba,https://fbref.com/en/players/867239d3/Paul-Pogba
46,Gareth Bale,https://fbref.com/en/players/a58bb1e1/Gareth-Bale
49,Ivan Rakitić,https://fbref.com/en/players/89f951b5/Ivan-Rakitic
50,Sergio Ramos,https://fbref.com/en/players/08511d65/Sergio-Ramos
51,Edinson Cavani,https://fbref.com/en/players/527f063d/Edinson-Cavani
53,Marcelo,https://fbref.com/en/players/603116a7/Marcelo
55,Mario Mandžukić,https://fbref.com/en/players/afa0d4e0/Mario-Mandzukic
56,Jan Oblak,https://fbref.com/en/players/ee8508c0/Jan-Oblak
57,Diego Godín,https://fbref.com/en/players/fc4f85b1/Diego-Godin
58,Isco,https://fbref.com/en/players/a0b4bb3e/Isco
60,Kaká,https://fbref.com/en/players/b2d6ea70/Kaka
63,Didier Drogba,https://fbref.com/en/players/945dea33/Didier-Drogba
64,Andrea Pirlo,https://fbref.com/en/players/71c5f16f/Andrea-Pirlo
65,Ruud van Nistelrooy,https://fbref.com/en/players/80a30989/Ruud-van-Nistelrooy
66,Zlatan Ibrahimović,https://fbref.com/en/players/4cde5509/Zlatan-Ibrahimovic
67,Cesc Fàbregas,https://fbref.com/en/players/33508c78/Cesc-Fabregas
68,Robinho,https://fbref.com/en/players/f034613c/Robinho
69,Francesco Totti,https://fbref.com/en/players/ed75b6c7/Francesco-Totti
70,Frédéric Kanouté,https://fbref.com/en/players/1a24d5b6/Frederic-Kanoute
71,Ronaldinho,https://fbref.com/en/players/34edcab0/Ronaldinho
72,Steven Gerrard,https://fbref.com/en/players/caeb5442/Steven-Gerrard
73,Juan Román Riquelme,https://fbref.com/en/players/04381207/Juan-Roman-Riquelme
74,Dani Alves,https://fbref.com/en/players/c9e99e49/Dani-Alves
75,Filippo Inzaghi,https://fbref.com/en/players/27b041d6/Filippo-Inzaghi
76,Franck Ribéry,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
77,Paolo Maldini,https://fbref.com/en/players/14323e81/Paolo-Maldini
78,Gianluigi Buffon,https://fbref.com/en/players/e40d028b/Gianluigi-Buffon
79,Petr Čech,https://fbref.com/en/players/71672fa0/Petr-Cech
80,Gennaro Gattuso,https://fbref.com/en/players/46b066b5/Gennaro-Gattuso
81,Thierry Henry,https://fbref.com/en/players/c0c5ee74/Thierry-Henry
82,Clarence Seedorf,https://fbref.com/en/players/e6af3cc7/Clarence-Seedorf
83,Fabio Cannavaro,https://fbref.com/en/players/51152527/Fabio-Cannavaro
84,Michael Essien,https://fbref.com/en/players/d6577282/Michael-Essien
85,Wayne Rooney,https://fbref.com/en/players/f07be45a/Wayne-Rooney
86,Iker Casillas,https://fbref.com/en/players/1ddbb0da/Iker-Casillas
87,Rogério Ceni,https://fbref.com/en/players/a737c150/Rogerio-Ceni
88,Guillermo Ochoa,https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa
89,Dimitar Berbatov,https://fbref.com/en/players/f5781978/Dimitar-Berbatov
90,Samuel Eto'o,https://fbref.com/en/players/06420c93/Samuel-Etoo
91,Ryan Giggs,https://fbref.com/en/players/561de8d0/Ryan-Giggs
92,Carlos Tevez,https://fbref.com/en/players/c1a26d43/Carlos-Tevez
93,Robin van Persie,https://fbref.com/en/players/3fcab3a8/Robin-van-Persie
94,Eric Abidal,https://fbref.com/en/players/016828bd/Eric-Abidal
95,David Beckham,https://fbref.com/en/players/53539318/David-Beckham
96,Deco,https://fbref.com/en/players/a8a2f283/Deco
97,Mahamadou Diarra,https://fbref.com/en/players/4a6c3ade/Mahamadou-Diarra
98,Diego,https://fbref.com/en/players/fc4f85b1/Diego-Godin
99,Miroslav Klose,https://fbref.com/en/players/5e36a0dd/Miroslav-Klose
100,Florent Malouda,https://fbref.com/en/players/6fe6d820/Florent-Malouda
101,Shunsuke Nakamura,https://fbref.com/en/players/72987abc/Shunsuke-Nakamura
102,Ricardo Quaresma,https://fbref.com/en/players/6b6d252d/Ricardo-Quaresma
103,Raúl,https://fbref.com/en/players/2b81295d/Raul
104,Paul Scholes,https://fbref.com/en/players/24a3a72c/Paul-Scholes
105,Luca Toni,https://fbref.com/en/players/dd74033b/Luca-Toni
106,Kolo Touré,https://fbref.com/en/players/3301c9f4/Kolo-Toure
107,Fernando Torres,https://fbref.com/en/players/bdf7b97d/Fernando-Torres
108,David Villa,https://fbref.com/en/players/ade08a67/David-Villa
123,Paulo Dybala,https://fbref.com/en/players/e0921a4f/Paulo-Dybala
125,Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos
128,David de Gea,https://fbref.com/en/players/7ba6d84e/David-de-Gea
130,Leonardo Bonucci,https://fbref.com/en/players/52ec54d0/Leonardo-Bonucci
132,Radamel Falcao,https://fbref.com/en/players/66116290/Radamel-Falcao
135,Mats Hummels,https://fbref.com/en/players/05d548d8/Mats-Hummels
136,Edin Džeko,https://fbref.com/en/players/3bb7f478/Edin-Dzeko
137,Philippe Coutinho,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho
138,Dries Mertens,https://fbref.com/en/players/89b2c8a9/Dries-Mertens
146,Jamie Vardy,https://fbref.com/en/players/45963054/Jamie-Vardy
148,Pepe,https://fbref.com/en/players/e358587b/Pepe-Reina
150,Rui Patrício,https://fbref.com/en/players/79b0d6a0/Rui-Patricio
153,Arturo Vidal,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
157,Dimitri Payet,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
162,Gonzalo Higuaín,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain
163,Andrés Iniesta,https://fbref.com/en/players/cfd65a29/Andres-Iniesta
164,Koke,https://fbref.com/en/players/55126f3b/Koke
166,Thomas Müller,https://fbref.com/en/players/3c6089ab/Thomas-Muller
167,Manuel Neuer,https://fbref.com/en/players/8778c910/Manuel-Neuer
173,Xavi,https://fbref.com/en/players/c1b4188c/Xavi
174,Andrey Arshavin,https://fbref.com/en/players/8fd1ea1f/Andrey-Arshavin
179,Marcos Senna,https://fbref.com/en/players/ad6cbdbe/Marcos-Senna
180,Emmanuel Adebayor,https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor
183,Frank Lampard,https://fbref.com/en/players/268df6b1/Frank-Lampard
187,Michael Ballack,https://fbref.com/en/players/9d1b8b6b/Michael-Ballack
191,Nemanja Vidić,https://fbref.com/en/players/4b30b37e/Nemanja-Vidic
192,Edwin van der Sar,https://fbref.com/en/players/98ee8a67/Edwin-van-der-Sar
197,Rafael van der Vaart,https://fbref.com/en/players/41473b67/Rafael-van-der-Vaart
198,Yuri Zhirkov,https://fbref.com/en/players/ed2b33cb/Yuri-Zhirkov
214,Luís Fabiano,https://fbref.com/en/players/eaaeef7b/Luis-Fabiano
217,Diego Forlán,https://fbref.com/en/players/d87d0dfc/Diego-Forlan
218,Yoann Gourcuff,https://fbref.com/en/players/3acddfdd/Yoann-Gourcuff
220,Júlio César,https://fbref.com/en/players/f619413f/Julio-Cesar
222,Maicon,https://fbref.com/en/players/fbc5d136/Maicon-Sisenando
225,John Terry,https://fbref.com/en/players/68517cfd/John-Terry
227,Yaya Touré,https://fbref.com/en/players/c204f844/Yaya-Toure
229,Arjen Robben,https://fbref.com/en/players/09586899/Arjen-Robben
231,Philipp Lahm,https://fbref.com/en/players/de491a33/Philipp-Lahm
233,James Rodríguez,https://fbref.com/en/players/715bf047/James-Rodriguez
235,Ángel Di María,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
236,Diego Costa,https://fbref.com/en/players/a190d597/Diego-Costa
240,Mario Götze,https://fbref.com/en/players/9efa1d25/Mario-Gotze
243,Bastian Schweinsteiger,https://fbref.com/en/players/ccc22fea/Bastian-Schweinsteiger
244,Javier Mascherano,https://fbref.com/en/players/5070881b/Javier-Mascherano
246,David Luiz,https://fbref.com/en/players/c0e27d1a/David-Luiz
255,Alexis Sánchez,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez
284,Mesut Özil,https://fbref.com/en/players/16380240/Mesut-Ozil
289,Thiago Silva,https://fbref.com/en/players/86e7deaf/Thiago-Silva
302,Xabi Alonso,https://fbref.com/en/players/dc001a06/Xabi-Alonso
311,Sergio Busquets,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
312,Gerard Piqué,https://fbref.com/en/players/adfc9123/Gerard-Pique
314,Mario Balotelli,https://fbref.com/en/players/8ff07990/Mario-Balotelli
326,Wesley Sneijder,https://fbref.com/en/players/ad625c12/Wesley-Sneijder
336,Nani,https://fbref.com/en/players/15e9c7e6/Nani
348,Carles Puyol,https://fbref.com/en/players/7c0bda9b/Carles-Puyol
355,Asamoah Gyan,https://fbref.com/en/players/7f7bbbc2/Asamoah-Gyan
